URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/chf-lasix-po-administration,StructureDefinition/chf-lasix-iv-administration","SCT"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/chf-lasix-po-administration,StructureDefinition/chf-lasix-iv-administration","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/chf-cardiology-consult,StructureDefinition/chf-jvp-request,StructureDefinition/chf-o2-sat-request,StructureDefinition/chf-potassium,StructureDefinition/chf-urine-out,StructureDefinition/chf-bodyweight-change,StructureDefinition/chf-o2-sat,StructureDefinition/chf-egfr,StructureDefinition/chf-cardiology-consult-request,StructureDefinition/chf-creatinine,StructureDefinition/chf-jvp,StructureDefinition/chf-bodyweight,StructureDefinition/chf-net-io","SCT"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/chf-cardiology-consult,StructureDefinition/chf-lasix-po-request,StructureDefinition/chf-lasix-iv-request","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/chf-creatinine,StructureDefinition/chf-potassium,StructureDefinition/chf-jvp,StructureDefinition/chf-urine-out,StructureDefinition/chf-bodyweight,StructureDefinition/chf-bodyweight-change,StructureDefinition/chf-o2-sat,StructureDefinition/chf-egfr,StructureDefinition/chf-net-io","THO"
http://hl7.org/fhir/ValueSet/device-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.425",ProcedureDeviceActionCodes,Procedure Device Action Codes,"Example codes indicating the change that happened to the device during the procedure.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/chf-cardiology-consult","SCT"
http://hl7.org/fhir/ValueSet/device-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.208",FHIRDeviceTypes,FHIR Device Types,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/chf-cardiology-consult","SCT"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/chf-cardiology-consult","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/chf-cardiology-consult,StructureDefinition/chf-jvp-request,StructureDefinition/chf-o2-sat-request,StructureDefinition/chf-potassium,StructureDefinition/chf-urine-out,StructureDefinition/chf-lasix-po-administration,StructureDefinition/chf-lasix-po-request,StructureDefinition/chf-bodyweight-change,StructureDefinition/chf-o2-sat,StructureDefinition/chf-egfr,StructureDefinition/chf-cardiology-consult-request,StructureDefinition/chf-creatinine,StructureDefinition/chf-jvp,StructureDefinition/chf-bodyweight,StructureDefinition/chf-lasix-iv-administration,StructureDefinition/chf-net-io,StructureDefinition/chf-lasix-iv-request","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/med-admin-perform-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.349",MedicationAdministration Performer Function Codes,Medication administration  performer  function  codes,"MedicationAdministration Performer Function Codes","StructureDefinition/chf-lasix-po-administration,StructureDefinition/chf-lasix-iv-administration","THO"
